DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-02-24,25.22,25.35,24.92,25.14,44.09
2023-02-23,25.78,26.08,25.32,25.61,56.47
2023-02-22,25.91,26.90,25.30,25.47,89.20
2023-02-21,27.11,27.27,26.04,26.06,63.67
2023-02-17,28.00,28.07,27.38,27.61,32.09
2023-02-16,28.50,28.825,28.13,28.20,28.97
